ranking,imdb_id,director,actor 1,actior 2,rating,
165,tt0050986,Ingmar Bergman (dir.),Victor Sjöström, Bibi Andersson,8.11714655335931,
166,tt0041959,Carol Reed (dir.),Orson Welles, Joseph Cotten,8.116812402969812,
167,tt0120382,Peter Weir (dir.),Jim Carrey, Ed Harris,8.115156197840756,
168,tt0107290,Steven Spielberg (dir.),Sam Neill, Laura Dern,8.114996782945,
169,tt0434409,James McTeigue (dir.),Hugo Weaving, Natalie Portman,8.113965625518466,
170,tt0353969,Bong Joon Ho (dir.),Kang-ho Song, Kim Sang-kyung,8.113432277927844,
171,tt2096673,Pete Docter (dir.),Amy Poehler, Bill Hader,8.112632414349308,
172,tt0083658,Ridley Scott (dir.),Harrison Ford, Rutger Hauer,8.112558112685287,
173,tt0117951,Danny Boyle (dir.),Ewan McGregor, Ewen Bremner,8.112115551573305,
174,tt0050212,David Lean (dir.),William Holden, Alec Guinness,8.111199016747728,
175,tt0116282,Joel Coen (dir.),William H. Macy, Frances McDormand,8.110193345278592,
176,tt1291584,Gavin O'Connor (dir.),Tom Hardy, Nick Nolte,8.10879433907353,
177,tt0266543,Andrew Stanton (dir.),Albert Brooks, Ellen DeGeneres,8.10836394305252,
178,tt0266697,Quentin Tarantino (dir.),Uma Thurman, David Carradine,8.10699891667291,
179,tt0031381,Victor Fleming (dir.),Clark Gable, Vivien Leigh,8.105773480379714,
180,tt0046438,Yasujirô Ozu (dir.),Chishû Ryû, Chieko Higashiyama,8.102752412503602,
181,tt15097216,T.J. Gnanavel (dir.),Suriya, Lijo Mol Jose,8.102647107675686,
182,tt0047296,Elia Kazan (dir.),Marlon Brando, Karl Malden,8.101531905593957,
183,tt0476735,Cagan Irmak (dir.),Eser Sariyar, Çetin Tekindor,8.100120008807359,
184,tt0065234,Costa-Gavras (dir.),Yves Montand, Irene Papas,8.093463975566696,
185,tt3011894,Damián Szifron (dir.),Darío Grandinetti, María Marull,8.09261627064664,
186,tt0079944,Andrei Tarkovsky (dir.),Alisa Freyndlikh, Aleksandr Kaydanovskiy,8.092602332384407,
187,tt0077416,Michael Cimino (dir.),Robert De Niro, Christopher Walken,8.090309215185728,
188,tt0015324,Buster Keaton (dir.),Buster Keaton, Kathryn McGuire,8.088667051012408,
189,tt1205489,Clint Eastwood (dir.),Clint Eastwood, Bee Vang,8.088569729109533,
190,tt0060827,Ingmar Bergman (dir.),Bibi Andersson, Liv Ullmann,8.088521441738525,
191,tt0017925,Clyde Bruckman (dir.),Buster Keaton, Marion Mack,8.088519391345523,
192,tt1392214,Denis Villeneuve (dir.),Hugh Jackman, Jake Gyllenhaal,8.087840796923773,
193,tt2278388,Wes Anderson (dir.),Ralph Fiennes, F. Murray Abraham,8.087824426204147,
194,tt0978762,Adam Elliot (dir.),Toni Collette, Philip Seymour Hoffman,8.084961536079204,
195,tt0112471,Richard Linklater (dir.),Ethan Hawke, Julie Delpy,8.08491196355447,
196,tt0031679,Frank Capra (dir.),James Stewart, Jean Arthur,8.081957218110412,
197,tt0264464,Steven Spielberg (dir.),Leonardo DiCaprio, Tom Hanks,8.08144862715315,
198,tt3170832,Lenny Abrahamson (dir.),Brie Larson, Jacob Tremblay,8.079872711408898,
199,tt0107207,Jim Sheridan (dir.),Daniel Day-Lewis, Pete Postlethwaite,8.079853892749208,
200,tt0072684,Stanley Kubrick (dir.),Ryan O'Neal, Marisa Berenson,8.078592933575019,
201,tt2267998,David Fincher (dir.),Ben Affleck, Rosamund Pike,8.077856244816154,
202,tt2119532,Mel Gibson (dir.),Andrew Garfield, Sam Worthington,8.076166452865309,
203,tt0019254,Carl Theodor Dreyer (dir.),Maria Falconetti, Eugene Silvain,8.073908550332481,
204,tt8108198,Sriram Raghavan (dir.),Ayushmann Khurrana, Tabu,8.072090756635133,
205,tt1950186,James Mangold (dir.),Matt Damon, Christian Bale,8.069805719900367,
206,tt2024544,Steve McQueen (dir.),Chiwetel Ejiofor, Michael Kenneth Williams,8.069176099438426,
207,tt0035446,Ernst Lubitsch (dir.),Carole Lombard, Jack Benny,8.06892036195966,
208,tt0118715,Joel Coen (dir.),Jeff Bridges, John Goodman,8.06736449045901,
209,tt0077711,Ingmar Bergman (dir.),Ingrid Bergman, Liv Ullmann,8.062956087381849,
210,tt0892769,Dean DeBlois (dir.),Jay Baruchel, Gerard Butler,8.06266327613734,
211,tt0097165,Peter Weir (dir.),Robin Williams, Robert Sean Leonard,8.0618391217437,
212,tt1392190,George Miller (dir.),Tom Hardy, Charlize Theron,8.061465754024589,
213,tt0052618,William Wyler (dir.),Charlton Heston, Jack Hawkins,8.060939934708243,
214,tt1201607,David Yates (dir.),Daniel Radcliffe, Emma Watson,8.05873961344781,
215,tt0405159,Clint Eastwood (dir.),Hilary Swank, Clint Eastwood,8.058556123148687,
216,tt0046268,Henri-Georges Clouzot (dir.),Yves Montand, Charles Vanel,8.055942002465567,
217,tt0092005,Rob Reiner (dir.),Wil Wheaton, River Phoenix,8.055376808579696,
218,tt4016934,Park Chan-Wook (dir.),Kim Min-hee, Ha Jung-woo,8.055188596264225,
219,tt0074958,Sidney Lumet (dir.),Faye Dunaway, William Holden,8.054803531868945,
220,tt3315342,James Mangold (dir.),Hugh Jackman, Patrick Stewart,8.051691913931155,
221,tt0061512,Stuart Rosenberg (dir.),Paul Newman, George Kennedy,8.050129259279398,
222,tt1028532,Lasse Hallström (dir.),Richard Gere, Joan Allen,8.04959624640068,
223,tt0053198,François Truffaut (dir.),Jean-Pierre Léaud, Albert Rémy,8.048829712775774,
224,tt1954470,Anurag Kashyap (dir.),Manoj Bajpayee, Richa Chadha,8.048561104241811,
225,tt0113247,Mathieu Kassovitz (dir.),Vincent Cassel, Hubert Koundé,8.048364266128836,
226,tt0091763,Oliver Stone (dir.),Charlie Sheen, Tom Berenger,8.046055617711515,
227,tt1895587,Tom McCarthy (dir.),Mark Ruffalo, Michael Keaton,8.044194988877386,
228,tt5323662,Naoko Yamada (dir.),Miyu Irino, Saori Hayami,8.04356422779644,
229,tt0032976,Alfred Hitchcock (dir.),Laurence Olivier, Joan Fontaine,8.041641679153331,
230,tt0198781,Pete Docter (dir.),Billy Crystal, John Goodman,8.041416717858906,
